donor21_Normal_sample21_14	donor21_Normal_sample21_6	donor21_MDS_sample21_16	donor21_MDS_sample21_29	donor21_MDS_sample21_31	donor22_Normal_sample22_22	donor22_Normal_sample22_27	donor22_Normal_sample22_45	donor22_MDS_sample22_44b	donor23_Normal_sample23_13	donor23_Normal_sample23_28	donor23_Normal_sample23_5	donor23_MDS_sample23_24	donor23_MDS_sample23_38	donor23_MDS_sample23_6
5.89853515.89855081	366	183	555	517	268	95	247	200	178	354	276	262	274	431	442
5.93581343.93581672	27	27	9	11	10	12	26	28	4	46	43	18	9	6	23
5.93712413.93712940	64	52	30	16	22	43	36	60	6	68	91	44	21	17	33
5.94513574.94514258	40	37	122	87	38	16	66	56	45	61	57	35	43	67	63
5.95198569.95199545	103	109	36	38	31	45	109	56	11	92	121	67	30	22	35
5.96421443.96421742	26	30	11	11	10	6	29	19	2	24	39	22	8	5	8
5.98325341.98325907	70	43	21	16	22	29	72	57	7	69	78	43	14	19	17
5.98362508.98363470	93	85	38	24	29	59	87	72	12	99	128	76	22	15	53
5.100082343.100082709	45	32	9	18	5	14	38	33	3	57	47	26	10	13	19
5.100115338.100116494	133	118	45	53	43	49	131	94	13	139	180	80	30	25	55
5.101867248.101867536	65	37	17	19	22	21	54	41	5	65	81	32	13	2	19
5.106629728.106630329	41	25	16	10	10	19	32	20	2	49	66	39	8	11	23
5.108023472.108024056	39	22	17	15	5	11	30	20	5	42	43	26	14	6	7
5.108194621.108195125	32	18	14	9	10	14	40	26	3	50	39	27	12	11	15
5.109336080.109336871	67	84	36	24	21	43	58	64	8	89	97	60	24	16	29
5.110807916.110808757	97	73	35	34	34	27	85	72	10	103	124	71	25	20	53
5.110898409.110899770	61	41	451	214	56	20	83	110	45	164	79	95	101	115	217
5.111858747.111860196	112	119	24	43	41	64	116	74	16	120	149	91	47	22	50
5.111883815.111884553	44	29	110	68	42	21	59	51	33	58	64	65	54	56	115
5.112265543.112266156	53	39	20	18	15	30	53	46	9	45	52	27	9	11	19
5.112383264.112384115	73	46	21	22	16	16	53	23	3	51	51	31	16	13	30
5.112549127.112549769	71	60	32	29	17	44	60	49	6	91	88	52	24	20	23
5.113754330.113754866	56	38	22	17	19	17	37	31	3	55	74	31	9	8	20
5.114193299.114194336	127	109	35	41	51	69	151	74	11	144	163	66	24	22	31
5.114544633.114545590	227	144	77	88	83	110	181	167	19	248	262	161	49	45	110
5.115412037.115412849	48	38	20	16	11	30	61	32	5	86	106	70	22	10	27
5.118218965.118219374	37	42	16	17	18	29	43	31	7	52	60	35	19	5	19
5.119428829.119429138	45	34	16	16	7	4	27	25	6	53	64	27	12	10	14
5.119798835.119799316	50	44	12	14	10	19	39	33	3	59	79	23	13	6	12
5.121556083.121556534	71	65	17	12	18	37	73	35	6	78	109	40	16	14	20
5.122982674.122983382	87	78	19	27	28	33	77	66	5	129	118	54	24	9	33
5.123149671.123150576	19	22	107	100	25	9	57	38	14	122	56	29	51	64	86
5.123991504.123992103	18	8	81	42	10	24	20	21	18	64	28	28	30	42	58
5.124216641.124217362	78	77	18	27	20	33	80	46	4	74	101	39	19	17	32
5.124237696.124238610	143	120	30	56	51	73	131	80	7	113	144	85	33	26	55
5.125402031.125403176	228	148	63	84	90	104	243	133	22	255	275	132	55	52	103
5.125693606.125694924	114	68	34	31	34	81	96	57	15	104	121	87	38	20	44
5.126083540.126084285	121	105	49	39	39	119	163	124	11	128	145	124	62	31	49
5.126219507.126220544	27	21	207	77	32	20	31	52	42	70	52	26	55	67	124
5.130100527.130101539	173	132	61	62	47	80	182	139	24	206	195	133	35	20	56
5.130544805.130545852	298	157	86	83	81	121	269	198	19	250	253	199	56	55	92
5.130547995.130548699	70	53	11	17	10	20	33	33	4	56	66	55	16	13	17
5.130559937.130560957	148	138	37	62	53	61	127	88	16	155	189	107	49	24	57
5.130832129.130832347	42	27	14	14	9	20	36	21	3	32	37	19	6	3	17
5.130872054.130872448	58	47	16	11	9	20	46	43	4	35	47	47	11	11	25
5.131601138.131602373	65	55	275	139	65	39	73	63	76	116	62	47	45	111	131
5.131689895.131690963	127	143	75	61	45	59	144	144	15	133	103	107	41	28	46
5.133879351.133880461	216	177	72	65	50	63	121	112	14	93	127	137	54	38	46
5.134728812.134729486	81	70	36	20	33	62	99	59	5	82	85	49	24	16	34
5.135383113.135384148	127	148	37	43	33	83	101	86	12	95	126	62	31	22	32
5.136949135.136950062	122	93	44	61	43	69	128	99	12	138	171	126	49	35	45
5.136958058.136959089	146	97	40	48	51	71	97	37	6	146	168	91	39	26	42
5.137193986.137194393	45	36	13	14	13	14	43	30	2	30	30	25	16	5	14
5.139699229.139699900	104	85	36	30	39	31	80	63	9	81	80	44	20	16	38
5.139700754.139701926	253	248	97	93	92	122	312	179	41	183	229	183	67	37	81
5.140939947.140941014	58	54	267	190	70	30	87	87	46	163	100	56	76	99	160
5.141002511.141003452	177	125	45	58	60	91	157	67	20	159	167	162	44	43	55
5.142116706.142117239	81	46	24	26	23	38	53	41	8	63	57	63	19	10	32
5.142137880.142138675	159	126	50	61	45	63	99	109	18	79	116	112	25	24	49
5.142174724.142175233	68	50	17	13	14	39	61	49	2	54	61	43	15	7	11
5.142182694.142183887	111	117	40	52	41	57	112	95	10	87	70	50	27	16	31
5.142314916.142315808	64	58	25	23	13	29	45	47	9	56	75	50	14	13	16
5.142381578.142382954	380	252	136	154	106	151	289	236	28	341	278	236	93	73	92
5.142388519.142389038	57	39	23	12	22	58	35	35	7	50	40	69	26	11	18
5.142497512.142498305	102	67	30	21	25	32	57	53	6	65	72	51	21	17	28
5.142814450.142815428	91	113	24	37	34	53	149	73	7	110	127	61	24	15	35
5.142933876.142934138	24	39	12	11	6	25	41	37	2	22	29	32	11	4	6
5.142984679.142985640	66	107	29	45	28	44	112	88	6	64	97	62	24	18	35
5.143176292.143176694	49	41	17	17	19	20	48	29	4	58	68	34	10	13	26
5.144091394.144092112	57	35	11	16	21	24	63	44	2	52	90	43	15	14	25
5.145068692.145069376	146	95	33	23	44	57	120	66	5	132	172	62	16	13	44
5.145363495.145364326	105	78	38	40	34	49	109	77	17	134	113	68	31	12	41
5.146193437.146193613	47	35	7	14	12	14	50	42	4	57	69	25	12	13	29
5.146816093.146817497	134	84	52	45	34	66	125	72	16	141	134	88	27	32	65
5.146861015.146862644	67	48	42	37	18	27	59	50	6	127	112	106	22	15	33
5.147184491.147185225	117	86	39	43	31	53	93	83	4	103	98	59	35	18	42
5.147310132.147310942	71	76	25	27	25	18	50	36	4	80	119	47	16	12	29
5.147565771.147566454	63	63	28	24	21	39	45	57	9	65	87	53	27	6	26
5.147782889.147783572	81	58	25	26	20	48	71	60	8	70	105	63	21	11	29
5.148128304.148128765	49	45	18	15	22	23	52	43	4	43	51	30	12	10	23
5.148140436.148141010	78	52	28	19	30	49	70	58	10	75	76	62	22	15	33
5.148210952.148211724	130	113	30	35	34	56	112	68	5	110	141	71	22	9	22
5.148261836.148262274	67	40	16	15	17	21	55	36	9	48	55	35	11	8	13
5.148343147.148343671	78	69	30	28	31	36	91	59	6	85	109	55	23	10	31
5.148700223.148701230	52	61	154	66	50	18	44	60	49	56	74	64	84	94	102
5.148801659.148804427	223	180	904	376	239	109	355	262	207	365	305	232	188	314	484
5.148825321.148825771	43	31	212	78	31	39	41	75	28	66	55	51	71	59	94
5.149057180.149057901	141	117	38	49	37	65	148	80	5	116	111	76	27	30	54
5.149059627.149061171	511	414	182	204	202	288	622	342	52	372	421	398	124	89	174
5.150512254.150513187	161	114	60	53	40	66	136	107	14	103	144	77	31	14	61
5.150935836.150937044	154	111	37	48	54	68	120	76	15	95	134	86	46	18	49
5.153275980.153276794	94	76	28	30	32	35	106	64	7	98	136	60	21	11	29
5.153663846.153664321	51	39	19	6	14	16	34	36	3	36	48	31	9	5	9
5.153677449.153678153	116	86	55	33	52	54	106	87	13	137	142	80	32	19	52
5.156340785.156341640	58	49	19	21	18	22	56	32	6	79	73	43	15	11	18
5.156533790.156534811	99	80	52	34	34	78	75	101	12	117	111	83	31	18	42
5.156535654.156537123	168	129	52	47	43	106	125	113	18	162	183	126	50	27	75
5.156921303.156922049	84	111	29	38	25	37	72	63	11	84	142	65	26	19	49
5.156928985.156929887	178	131	50	69	67	114	161	99	20	174	147	115	44	33	70
5.156990550.156991696	78	61	123	169	52	29	110	62	58	94	92	71	83	107	138
5.156993831.156994588	57	58	16	18	26	17	77	37	5	45	62	39	14	11	30
5.157650955.157651682	62	48	32	22	22	47	55	43	8	94	86	63	24	17	18
5.158381033.158381701	28	35	14	9	14	12	35	19	1	46	44	27	15	11	10
5.158625375.158626029	54	37	16	15	20	20	37	28	7	52	51	46	10	5	18
5.158789045.158789711	179	167	50	56	70	103	209	167	19	145	160	99	50	38	59
5.158839273.158839859	66	48	18	26	20	40	104	62	10	52	69	55	18	10	13
5.158886927.158887852	183	160	46	52	33	115	126	71	18	173	153	126	39	27	45
5.159231812.159232553	125	82	33	34	60	68	118	77	10	122	106	81	32	25	29
5.159305953.159306528	46	32	202	82	28	14	49	63	45	94	77	48	65	105	110
5.159760499.159761377	100	82	32	42	33	51	70	56	5	54	99	89	47	14	27
5.159927427.159928399	120	82	33	26	35	49	111	64	13	103	164	64	18	23	21
5.160226010.160226763	78	62	37	27	32	56	60	48	7	86	112	73	24	12	29
5.162736746.162737485	57	44	13	14	24	32	58	61	9	73	82	37	22	7	25
5.163341955.163344268	260	265	142	107	95	127	303	243	36	332	381	175	69	52	110
5.163427199.163427517	40	34	6	15	10	10	37	24	7	49	54	18	9	4	20
5.164614987.164616514	65	67	25	35	21	34	91	89	7	108	108	57	25	14	28
5.164986644.164987221	130	93	49	50	43	76	134	112	22	179	162	83	38	28	64
5.168347213.168347902	63	65	20	20	15	24	54	56	11	69	86	49	14	13	23
5.168727444.168728731	56	49	173	96	68	42	66	47	48	72	82	41	65	76	105
5.169901981.169902889	87	69	27	32	28	46	96	59	10	75	103	64	15	22	39
5.171569393.171570311	39	33	122	45	40	18	30	34	45	36	32	37	63	64	59
5.172395874.172396421	67	52	14	15	20	26	61	39	3	46	34	35	16	20	22
5.177876048.177876705	41	31	226	74	44	18	61	41	27	52	41	45	43	62	92
5.178486991.178488002	188	54	303	267	150	79	193	87	35	64	74	13	119	189	254
6.232643.233495	103	87	30	36	19	61	67	84	12	73	56	86	20	24	42
6.3940081.3940550	33	23	39	36	27	11	32	31	34	17	38	59	43	36	75
6.4901528.4902112	51	47	21	18	19	26	45	37	4	42	38	42	14	10	22
6.5698952.5699955	100	88	23	38	24	50	123	93	8	87	89	75	40	22	28
6.5723802.5725196	318	253	102	123	110	186	358	215	28	254	294	200	82	68	112
6.5891815.5892803	51	54	115	103	69	28	95	89	44	51	69	51	51	88	91
6.6395979.6396366	65	55	16	9	20	21	53	40	5	32	56	42	14	11	19
6.6588431.6589303	123	100	34	37	45	47	136	60	8	102	101	94	28	28	33
6.6823605.6824193	75	39	15	21	22	26	55	40	4	33	41	51	19	8	18
6.7073794.7074314	42	44	14	22	13	13	24	14	1	29	37	27	8	9	14
6.7188482.7189490	77	84	24	27	41	58	84	52	11	73	80	89	27	12	36
6.7324550.7325414	265	201	81	87	85	136	240	138	20	159	210	182	73	43	82
6.8080341.8080747	37	30	20	17	17	16	37	29	5	39	61	26	8	4	20
6.10082413.10083377	68	56	32	21	21	44	70	66	3	74	105	53	26	10	25
6.10205828.10206587	38	45	19	18	15	30	61	47	6	57	62	45	18	17	19
6.10531661.10532838	164	108	41	46	55	57	140	58	14	114	139	98	34	27	50
6.10633375.10634109	135	83	49	28	36	79	89	79	12	102	119	89	42	30	46
6.10643255.10644050	82	54	38	25	39	28	77	68	6	81	75	64	16	15	33
6.10655813.10656369	61	59	21	18	9	20	45	48	3	36	43	40	18	7	17
6.10901841.10902511	137	120	38	34	57	56	142	74	7	118	141	87	32	15	38
6.11323477.11325312	367	278	156	156	138	211	415	227	42	336	389	303	90	68	142
6.11405097.11405740	79	63	22	36	38	52	88	58	3	61	76	50	20	18	30
6.11525865.11526455	52	64	24	18	21	27	69	66	8	55	52	47	21	13	26
6.12051992.12052686	66	41	20	13	13	40	60	43	4	48	48	60	16	18	20
6.12060870.12061611	150	119	62	54	39	85	154	114	13	119	105	128	41	29	47
6.12265685.12266475	114	93	47	28	43	70	104	81	11	77	108	101	30	19	46
6.12357388.12358073	67	34	17	11	13	31	43	21	2	31	53	30	13	14	11
6.12369853.12370592	77	79	40	40	25	53	120	87	11	84	90	71	20	22	25
6.12903258.12903928	70	55	19	22	22	40	85	44	2	62	75	49	16	13	28
6.13261662.13262449	140	97	32	47	34	63	103	66	9	83	79	71	42	21	32
6.13678550.13679056	24	17	49	59	36	11	40	31	23	31	41	20	34	26	58
6.13762626.13763366	101	78	43	35	35	53	121	45	17	82	105	74	21	21	34
6.13872724.13873507	76	67	32	31	28	46	79	44	7	52	52	68	24	15	19
6.14094245.14094976	95	67	23	22	20	53	70	37	4	46	73	54	19	16	24
6.14108881.14109943	231	191	76	83	54	113	197	128	26	171	229	189	71	54	100
6.14121617.14122947	209	153	54	63	45	93	118	94	11	109	133	134	46	22	50
6.14123597.14124409	69	62	20	37	26	39	42	41	1	50	54	50	23	9	23
6.15368538.15369036	56	42	10	18	10	20	35	40	5	36	35	50	13	13	32
6.15922538.15923487	22	19	188	89	56	9	41	35	30	64	34	33	48	69	80
6.16374985.16375650	70	64	21	22	19	34	47	49	4	39	44	51	18	6	19
6.16824786.16825858	92	72	21	18	23	27	58	43	5	60	66	46	21	15	16
6.17591531.17591959	41	42	10	10	11	14	38	23	4	24	34	27	11	6	12
6.18560994.18561638	68	41	16	17	22	22	70	31	7	60	71	39	11	13	19
6.20059055.20059639	65	75	22	31	26	31	68	52	11	66	100	41	10	18	30
6.20319692.20320846	337	251	115	117	134	115	210	92	17	239	332	178	69	63	87
6.21022547.21022964	10	12	118	55	17	4	7	23	18	37	21	7	30	50	49
6.23728951.23729361	17	16	68	67	14	4	30	30	16	52	19	11	28	43	61
6.24228644.24229632	129	96	63	35	33	95	128	89	16	144	124	113	34	33	49
6.26017256.26018438	26	23	320	262	67	82	181	109	67	7	13	61	78	154	224
6.26042504.26046546	141	69	548	1296	551	244	941	458	448	38	64	109	426	564	1083
6.26474041.26474942	144	146	80	82	40	71	262	148	21	184	183	171	24	39	61
6.32404910.32405655	112	69	19	35	23	52	104	49	6	60	73	82	13	24	29
6.32407185.32408019	81	54	20	25	17	30	86	38	5	60	57	62	16	13	26
6.32904884.32905577	88	74	30	27	39	49	89	52	5	63	55	54	18	17	26
6.32997023.32997822	125	90	25	45	36	61	105	48	9	82	105	102	19	21	33
6.33041209.33041605	78	86	16	23	19	36	95	28	9	44	66	56	19	13	32
6.36317896.36319263	55	37	270	109	38	16	45	47	26	87	31	61	60	76	118
6.37159403.37160323	21	31	117	56	31	10	41	52	15	50	37	61	35	51	117
6.38519798.38520412	87	71	31	35	33	50	99	84	6	57	79	83	30	16	39
6.40116522.40117161	62	40	14	11	17	50	94	29	4	56	69	50	24	9	22
6.41068263.41069129	108	51	358	290	131	46	170	159	77	123	84	87	83	140	234
6.41734697.41735468	53	44	161	137	26	24	68	40	20	77	41	43	44	71	106
6.44490416.44491095	55	45	12	20	13	64	63	20	4	31	51	51	18	19	23
6.46698573.46699134	55	72	27	29	17	41	43	74	6	99	84	58	34	14	50
6.46776480.46776852	54	42	9	12	12	24	33	20	2	58	73	35	12	11	31
6.47051262.47051925	23	28	176	74	27	10	34	43	36	62	37	13	33	65	98
6.47170934.47171810	62	42	25	22	16	36	48	37	6	38	54	75	21	14	16
6.51130172.51130744	74	58	14	13	22	33	88	49	5	86	91	35	25	7	23
6.51137679.51138869	132	107	38	41	60	94	175	107	19	156	208	82	39	32	52
6.53063913.53064580	78	81	23	20	37	37	80	19	11	46	63	51	10	14	30
6.56108220.56108671	67	55	14	20	14	18	62	42	5	63	56	38	10	12	29
6.56405100.56405446	27	26	4	13	9	11	20	24	4	21	32	24	8	2	9
6.56458502.56459158	74	66	25	21	27	49	81	51	6	71	105	74	21	13	26
6.58267467.58267687	5	5	42	29	19	5	3	6	7	37	14	12	20	22	24
6.64093759.64094349	52	41	17	15	16	20	59	33	1	49	95	43	16	12	24
6.65381975.65382602	77	59	31	38	18	37	83	74	5	92	126	55	22	22	48
6.69362910.69363409	33	34	8	17	13	16	32	34	7	44	49	41	12	9	14
6.69466285.69467334	74	62	26	25	26	40	107	60	10	99	112	50	14	18	37
6.70591346.70591962	41	48	13	13	5	20	43	23	5	58	78	29	10	5	11
6.71848662.71849432	55	36	11	14	13	38	33	19	5	69	69	46	23	11	14
6.71957941.71958511	145	162	123	50	54	69	167	131	19	222	231	83	47	40	62
6.72437441.72438063	73	71	24	36	35	55	58	34	4	97	133	44	34	14	36
6.73941719.73942264	46	40	14	11	11	39	32	45	3	57	55	56	18	8	24
6.76205919.76206420	12	17	168	81	10	12	24	28	6	84	25	20	57	58	79
6.76318459.76319178	83	72	42	30	24	30	63	58	4	82	98	37	16	16	36
6.80738923.80739694	71	99	31	27	19	28	53	46	6	86	121	43	24	9	34
6.80921560.80921912	30	28	6	8	15	16	17	27	4	43	32	16	9	7	13
6.82482517.82482939	55	44	23	28	20	36	41	33	7	68	73	66	19	17	23
6.82969142.82969428	38	37	14	17	17	14	55	32	6	55	86	20	8	12	11
6.83780795.83781212	54	39	17	22	21	24	51	48	5	54	52	33	16	12	17
6.84004214.84004956	76	39	18	17	24	55	104	38	11	87	104	46	18	13	26
6.84177239.84177932	90	85	46	43	31	53	67	77	9	121	139	45	34	13	32
6.85291322.85292026	52	44	26	23	14	26	50	55	5	64	90	43	24	12	30
6.88106673.88107371	89	70	36	22	32	50	108	50	11	112	114	52	23	15	41
6.88457281.88457748	40	29	20	14	12	30	29	33	2	34	41	36	15	6	11
6.89244884.89245948	87	47	26	37	26	40	121	50	16	105	123	59	8	14	51
6.89943413.89943854	36	32	17	13	18	19	48	24	3	34	40	33	10	15	9
6.90694788.90695729	25	17	203	75	16	13	42	46	17	84	30	32	45	68	87
6.91060294.91061179	72	63	36	31	13	27	74	74	10	90	85	43	22	23	30
6.91085310.91085970	64	48	14	14	17	37	42	45	8	69	68	39	19	16	25
6.91603087.91603741	68	56	20	16	15	21	59	38	7	66	125	40	17	11	25
6.97233956.97235608	93	86	45	37	42	50	103	71	7	148	191	71	32	33	74
6.99541635.99542269	51	34	12	14	9	15	33	12	3	59	62	42	20	9	22
6.99777755.99778588	85	85	38	38	15	31	74	63	11	126	119	66	26	29	45
6.105443933.105444962	28	24	227	70	41	12	40	75	67	84	54	27	35	61	101
6.106038864.106039535	57	44	24	14	14	27	58	45	6	49	72	51	16	14	28
6.106049239.106050069	86	70	45	48	22	21	81	43	4	59	99	42	13	12	29
6.106233183.106233973	96	102	57	44	35	48	115	96	11	80	91	69	23	19	34
6.106320230.106320470	44	31	16	12	16	17	41	26	5	32	38	25	7	6	16
6.109779904.109780679	66	54	22	17	28	38	57	43	3	37	52	59	19	16	23
6.110213050.110213826	81	76	26	27	35	36	83	61	10	91	108	66	30	20	41
6.110719448.110720464	68	36	120	123	94	17	76	50	22	38	89	76	130	84	140
6.111060020.111060910	229	239	99	89	94	112	349	231	35	222	256	201	65	41	95
6.111727241.111728230	154	100	52	40	45	79	144	93	7	121	122	117	35	14	53
6.111733369.111733840	57	41	18	20	11	31	34	36	5	37	48	29	18	7	22
6.111762958.111763699	102	59	26	23	16	34	62	48	8	70	64	57	19	17	35
6.114130823.114131435	88	79	21	17	29	44	60	73	7	97	83	38	22	16	37
6.114301115.114301481	58	35	19	13	21	16	48	42	4	48	56	26	11	9	26
6.116730871.116731639	87	41	27	19	24	32	45	36	6	74	69	40	16	14	22
6.118092501.118093195	83	65	22	19	36	25	83	32	6	118	146	58	25	8	24
6.119066927.119067984	144	92	45	46	36	59	154	111	20	155	160	109	43	33	52
6.119089979.119090519	56	59	24	21	17	28	73	71	5	80	93	45	9	7	23
6.119212296.119212486	33	30	10	17	12	17	28	17	1	29	50	27	7	4	10
6.119770269.119771218	110	99	32	31	30	40	83	55	10	127	137	79	29	19	38
6.120306890.120307596	46	40	16	11	15	19	38	29	2	61	90	36	13	6	27
6.120519150.120519647	20	12	148	39	23	21	19	52	18	40	35	43	52	38	85
6.123037860.123039141	132	126	59	46	28	69	136	115	11	141	181	102	39	25	60
6.125579775.125580687	36	25	14	16	10	44	48	45	4	68	66	55	15	5	21
6.125919440.125920009	84	92	39	42	22	52	105	81	8	123	123	84	22	28	51
6.126361934.126362237	31	37	20	10	9	6	7	4	2	18	12	13	3	5	5
6.126658444.126659076	51	42	12	19	12	15	45	32	3	59	68	30	17	14	12
6.127778477.127779190	55	66	30	25	16	39	76	81	9	89	105	46	15	15	24
6.128299478.128299801	52	45	7	7	5	14	36	28	3	41	70	27	9	3	8
6.131249490.131250299	62	54	29	22	21	35	42	43	5	66	72	36	20	7	15
6.131799803.131800641	51	31	162	59	71	12	77	44	65	55	62	50	50	91	66
6.132185002.132185403	18	8	78	53	22	8	32	21	12	43	40	24	31	44	56
6.133034628.133035258	58	53	15	20	20	27	61	65	5	71	74	46	16	15	33
6.134537383.134538344	78	61	20	20	24	23	43	49	4	54	52	53	14	16	33
6.134556907.134557652	72	69	36	34	16	36	54	41	7	69	59	66	24	15	27
6.134758321.134758914	66	53	28	23	13	33	37	54	3	29	37	41	18	8	25
6.134951671.134952357	71	64	21	27	26	36	65	37	5	41	60	41	13	20	16
6.136505760.136506431	48	31	8	17	13	22	69	19	2	53	51	33	13	12	10
6.137561179.137561726	45	65	28	27	20	31	82	80	6	58	63	43	20	9	25
6.137603385.137603841	61	53	18	16	15	26	53	41	4	47	52	38	13	6	22
6.137998806.137999175	43	45	12	9	18	21	41	32	4	24	29	29	2	6	19
6.138167570.138168571	349	323	115	114	130	190	318	213	27	235	228	208	95	59	105
6.138194393.138194860	111	123	33	37	30	40	89	74	6	73	103	65	29	18	28
6.138272303.138272705	55	56	16	12	18	21	47	30	4	36	36	31	12	9	18
6.139301112.139301783	110	91	23	37	38	66	117	51	7	70	95	96	17	22	38
6.139713866.139714316	70	54	19	22	19	34	59	48	11	61	71	67	16	16	26
6.140083622.140084183	52	80	27	40	17	42	45	69	9	70	68	49	25	11	22
6.140160572.140161318	118	133	33	44	41	85	149	117	14	148	163	105	44	24	49
6.140240676.140241881	64	57	26	25	22	38	60	64	8	79	73	61	17	17	30
6.141805889.141806158	26	37	6	10	12	17	28	21	1	50	47	29	10	5	17
6.142615691.142616299	90	63	20	20	28	54	59	67	9	84	95	52	26	21	23
6.142701667.142702098	48	31	13	17	15	17	31	31	5	49	66	21	13	13	20
6.143105544.143106052	56	37	11	14	12	33	38	42	2	53	55	35	14	6	12
6.143234336.143235203	75	61	31	23	25	34	54	30	1	88	85	56	15	11	21
6.143418520.143419751	128	95	36	34	34	43	112	92	6	127	153	100	26	23	47
6.143597513.143597870	66	45	15	11	11	14	45	28	5	51	65	38	15	8	24
6.143721614.143722316	54	51	17	14	20	19	57	23	5	44	65	28	16	4	24
6.144341007.144341614	47	44	17	15	16	21	40	20	8	49	67	36	12	6	20
6.145044013.145044270	31	32	6	12	6	15	18	17	1	25	36	11	8	4	11
6.146226041.146226487	55	47	16	14	10	14	30	37	6	55	65	29	18	10	32
6.146626077.146627417	122	95	33	46	31	66	115	63	11	121	152	109	38	18	56
6.146915005.146916176	164	143	66	64	58	91	173	141	30	202	222	105	47	33	72
6.149003852.149005081	232	177	70	87	100	126	258	175	24	218	257	188	63	49	114
6.149091567.149091950	44	32	16	9	11	17	44	28	4	35	41	29	7	7	12
6.149320779.149321820	169	132	57	57	70	106	187	109	22	152	187	135	41	21	77
6.149336947.149337883	110	75	31	22	31	81	111	60	17	67	85	80	28	26	27
6.149387060.149387938	146	105	45	67	69	101	167	86	16	119	191	111	34	31	57
6.149567720.149568718	137	107	43	38	33	68	139	78	10	85	106	86	29	20	45
6.149580747.149581535	113	159	42	65	44	95	146	105	15	122	132	96	40	22	44
6.151023755.151024274	44	41	15	14	10	31	65	44	6	20	44	24	12	10	17
6.151819044.151819969	68	63	29	23	28	41	78	64	9	72	72	56	22	7	25
6.152269312.152270142	95	82	24	25	38	48	105	82	11	99	118	61	21	17	36
6.152420965.152421784	148	155	61	53	32	89	92	99	11	111	139	73	53	36	66
6.152553991.152554530	18	13	219	55	13	5	21	43	14	85	32	15	37	59	80
6.152908458.152909238	71	51	29	24	27	36	76	73	8	95	101	57	21	19	41
6.153413380.153414490	73	56	56	30	20	42	77	45	5	82	86	60	17	14	41
6.154278511.154278985	61	67	15	31	20	23	47	24	4	49	76	31	12	8	13
6.154490363.154491774	152	113	54	44	75	76	167	93	13	143	144	90	24	26	49
6.154577775.154580147	271	189	114	100	93	165	278	190	26	234	277	265	77	50	138
6.154677005.154678661	212	179	70	62	74	108	238	141	30	201	247	120	46	36	69
6.154924888.154926384	145	84	34	36	35	74	94	60	18	111	96	60	25	27	42
6.155640913.155641636	54	50	19	20	18	29	52	50	6	63	75	59	20	12	15
6.155739166.155740240	83	100	61	37	21	41	82	98	4	118	121	68	23	18	31
6.157018431.157018911	60	48	10	17	12	20	38	33	5	42	56	28	9	4	17
6.157375459.157375984	48	21	11	9	14	21	47	27	5	40	37	34	8	8	21
6.159087492.159088854	170	124	69	60	57	66	154	105	17	134	140	117	42	25	51
6.160380108.160380835	114	93	51	33	29	66	110	66	12	93	110	78	29	22	36
6.160410892.160411595	48	37	27	18	16	34	47	45	9	74	69	47	14	6	23
6.161538123.161538687	60	62	26	28	18	15	43	41	6	67	85	38	20	6	25
6.161675544.161676521	70	45	174	74	86	24	94	82	55	94	94	40	48	86	124
6.162540093.162541039	61	40	20	23	15	22	69	64	9	66	102	48	18	16	36
6.163819499.163820375	90	90	29	28	35	58	99	72	11	104	95	57	29	14	25
6.164088276.164089610	233	170	84	70	79	126	267	156	20	173	218	177	55	29	67
6.164117101.164117927	88	64	18	34	30	45	99	47	6	77	83	39	24	17	35
6.164128905.164129708	83	46	24	18	15	23	37	31	9	60	51	26	14	18	5
6.164176828.164177680	96	59	18	18	28	47	101	42	3	82	107	62	14	9	24
6.164405316.164406148	88	49	26	20	17	36	71	32	6	61	62	57	26	19	35
6.164409369.164409738	32	21	11	21	12	14	38	22	3	46	47	20	6	6	15
6.164529573.164531007	208	133	78	52	61	101	192	110	16	204	212	100	32	42	62
